# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
middle vs. middle	posterior vs. posterior	N/A	N/A	N/A	N/A	N/A
middle vs. middle	anterior vs. middle	-5.85508506099	0.107690301677	1	0.372	1.000
middle vs. middle	anterior vs. posterior	0.874782338823	0.542457098392	1	0.658	1.000
middle vs. middle	anterior vs. stomach	N/A	N/A	N/A	N/A	N/A
middle vs. middle	anterior vs. esophagus	N/A	N/A	N/A	N/A	N/A
middle vs. middle	middle vs. posterior	0.597804289208	0.592088950071	1	0.726	1.000
middle vs. middle	middle vs. stomach	-0.886614005463	0.538215047403	1	0.679	1.000
middle vs. middle	middle vs. esophagus	0.861896188574	0.547134158508	1	0.691	1.000
middle vs. middle	posterior vs. stomach	-0.0851266671468	0.94593701916	1	1.000	1.000
middle vs. middle	posterior vs. esophagus	1.49840737237	0.37464628177	1	0.669	1.000
middle vs. middle	stomach vs. esophagus	N/A	N/A	N/A	N/A	N/A
posterior vs. posterior	anterior vs. middle	-10.5245624234	0.0603079021484	1	0.328	1.000
posterior vs. posterior	anterior vs. posterior	-1.4104294625	0.392630997539	1	0.679	1.000
posterior vs. posterior	anterior vs. stomach	N/A	N/A	N/A	N/A	N/A
posterior vs. posterior	anterior vs. esophagus	N/A	N/A	N/A	N/A	N/A
posterior vs. posterior	middle vs. posterior	-1.28723246201	0.288334989536	1	0.311	1.000
posterior vs. posterior	middle vs. stomach	-1.83523264736	0.31761696227	1	0.351	1.000
posterior vs. posterior	middle vs. esophagus	-0.393549376513	0.761310139855	1	1.000	1.000
posterior vs. posterior	posterior vs. stomach	-2.26865959098	0.264303926387	1	0.362	1.000
posterior vs. posterior	posterior vs. esophagus	-1.72250856624	0.334858326441	1	0.657	1.000
posterior vs. posterior	stomach vs. esophagus	N/A	N/A	N/A	N/A	N/A
